user_name,screen_distance,target_x,target_y,left_x,left_y,right_x,right_y,pupil_distance_mm
hande,30,100,100,727,392,1116,405,60
hande,30,530,100,689,380,1081,389,60
hande,30,960,100,697,376,1084,385,60
hande,30,1390,100,715,375,1102,388,60
hande,30,1820,100,729,373,1119,387,60
hande,30,100,540,684,378,1067,391,60
hande,30,530,540,676,381,1063,392,60
hande,30,960,540,696,377,1083,393,60
hande,30,1390,540,719,373,1104,391,60
hande,30,1820,540,741,370,1125,390,60
hande,30,100,980,754,372,1136,391,60
hande,30,530,980,702,379,1083,396,60
hande,30,960,980,711,383,1094,401,60
hande,30,1390,980,723,382,1106,401,60
hande,30,1820,980,735,380,1114,399,60
hande,30,100,100,739,356,1111,373,60
hande,30,530,100,690,349,1064,365,60
hande,30,960,100,698,352,1074,367,60
hande,30,1390,100,715,349,1092,367,60
hande,30,1820,100,744,351,1121,369,60
hande,30,100,540,751,347,1129,366,60
hande,30,530,540,695,358,1075,374,60
hande,30,960,540,711,356,1089,376,60
hande,30,1390,540,727,355,1102,375,60
hande,30,1820,540,748,354,1121,375,60
hande,30,100,980,754,356,1128,377,60
hande,30,530,980,701,364,1078,383,60
hande,30,960,980,722,363,1096,384,60
hande,30,1390,980,725,362,1099,382,60
hande,30,1820,980,735,363,1109,383,60
hande,30,100,100,675,339,1047,355,60
hande,30,100,100,675,339,1047,355,60
hande,30,530,100,676,339,1050,356,60
hande,30,960,100,690,339,1060,355,60
hande,30,1390,100,709,337,1083,356,60
hande,30,1820,100,727,336,1100,356,60
hande,30,100,540,737,339,1110,357,60
hande,30,530,540,686,349,1059,366,60
hande,30,960,540,701,348,1075,369,60
hande,30,1390,540,719,348,1091,369,60
hande,30,1820,540,729,347,1100,367,60
hande,30,100,980,740,346,1111,367,60
hande,30,530,980,693,355,1061,372,60
hande,30,960,980,701,356,1070,374,60
hande,30,1390,980,712,354,1081,375,60
hande,30,1820,980,726,357,1094,378,60
hande,30,100,100,708,358,1077,383,60
hande,30,530,100,674,352,1046,377,60
hande,30,960,100,682,347,1052,370,60
hande,30,1390,100,700,345,1074,371,60
hande,30,1820,100,742,342,1112,369,60
hande,30,100,540,760,340,1130,370,60
hande,30,530,540,692,352,1064,377,60
hande,30,960,540,697,350,1069,378,60
hande,30,1390,540,716,352,1087,380,60
